cuie	siisa	nombre_efector	sigla_tipo_efector	descripcion_tipo_efector	id_provincia	nombre_provincia	id_departamento	nombre_departamento	id_localidad	nombre_localidad	ciudad	codigo_postal	domicilio	rural	cics	sigla_tipo_categorizacion	descripcion_tipo_categorizacion	sigla_dependencia_administrativa	descripcion_dependencia_administrativa	codigo_provincial_efector	dependencia_sanitaria	integrante	compromiso_gestion	numero_compromiso	firmante_compromiso	fecha_suscripcion_compromiso	fecha_inicio_compromiso	fecha_fin_compromiso	pago_indirecto	numero_convenio	firmante_convenio	nombre_tercer_administrador	codigo_tercer_administrador	fecha_suscripcion_convenio	fecha_inicio_convenio	fecha_fin_convenio	priorizado	ppac	perinatal_ac	addenda_perinatal	fecha_addenda_perinatal	categoria_obstretico	categoria_neonatal	nombre_referente	internet	factura_descentralizada	factura_on_line	id_estado	descripcion
A03220	50660282173189	C.S. N° 06 B° EL MANJÓN	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		ANA M. URQUIZA	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DRA. ANA M. URQUIZA	S	S	S	1	Activo
A03221	50660282173137	C.S. N° 01 VILLA PRIMAVERA	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		VIVIANA M. MOLINA	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DRA. VIVIANA M. MOLINA	S	S	S	1	Activo
A03222	50660282173197	C.S. N° 09 V° LAVALLE	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		MIRIAM HERRERA ALFONSO	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DRA. MIRIAN HERRERA ALFONSO	S	S	S	1	Activo
A03223	50660282173153	C.S. N° 27 B° INTERSINDICAL	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		SERGIO CUEVAS	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DR. SERGIO CUEVAS	S	S	S	1	Activo
A03224	50660282173173	C.S. N° 45 B° PROVIPO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		JUAN CARLOS TOLABA	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DR. JUAN CARLOS TOLABA	S	S	S	1	Activo
A03225	50660282173181	C.S. N° 51 B° LIMACHE	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		MABEL VEGA	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DRA. MABEL VEGA	S	S	S	1	Activo
A03226	50660282173155	C.S. N° 29 FINCA INDEPENDENCIA	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		NELIDA A. ACEVEDO	2014-10-09	2009-10-14	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DRA. NELIDA A. ACEVEDO	S	S	S	1	Activo
A03227	50660282173194	C.S. N° 07 V° 20 DE JUNIO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		ALICIA B. NIEVA ALABI	2014-10-09	2009-10-14	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						LIC. ALICIA B. NIEVA ALABI	S	S	S	1	Activo
A03228	50660282173191	C.S. N° 61 B° SOLIDARIDAD	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	S	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		PEDRO ALBERTO CATANIA	2004-08-10	2010-08-04	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DR. PEDRTO ALBERTO CATANIA	S	S	S	1	Activo
A03229	50660282173154	C.S. N° 28 V° ASUNCIÓN	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	S	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		SERGIO ARNALDO ORTIZ	2030-12-09	2009-12-30	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DR. SERGIO ARNALDO ORTIZ	S	S	S	1	Activo
A03230	50660282173170	C.S. N° 42 B° EL AUTÓDROMO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		ANA MARIA PAILLER	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DRA. ANA MARIA PAILLER	S	S	S	1	Activo
A03231	50660282173184	C.S. N° 54 B° SAN IGNACIO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		CARLOS DIAZ NAPURI	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DR. CARLOS DIAZ NAPURI	S	S	S	1	Activo
A03232	50660282173159	C.S. N° 31 V° COSTANERA	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		MARIA GOYTEA DE RIVERO	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						LIC. MARIA GOYTEA DE RIVERO	S	S	S	1	Activo
A03233	50660282173172	C.S. N° 44 B° FLORESTA	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		LILIANA MARTIN DE PAILLER	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DRA. LILIANA MARTIN DE PAILLER	S	S	S	1	Activo
A03234	50660282173150	C.S. N° 24 SAN LORENZO	CSA	Centro de salud "A"	10	SALTA	028	Capital	060	Villa San Lorenzo	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		FEDERICO MAINOLI	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DR. FEDERICO MAINOLI	S	S	S	1	Activo
A03235	50660282173178	C.S. N° 05 B° CASTAÑARES VIEJO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		MARIA MERCEDES RAMIREZ	2014-10-09	2009-10-14	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DRA. MARIA MERCEDES RAMIREZ	S	S	S	1	Activo
A03236	50660282173186	C.S. N° 56 B° PALERMO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		CRISTINA CENICE	2015-10-09	2009-10-15	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						LIC. CRISTINA CENICE	S	S	S	1	Activo
A03237	50660282173174	C.S. N° 46 V° MOROSINI	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		ANA IRENE VACA DE HARVA	2016-12-09	2009-12-16	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DRA. ANA IRENE VACA DE HARVA	S	S	S	1	Activo
A03238	50660282173176	C.S. N° 48 CEFERINO VELARDE	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		ANTONIO RUBEN VAZQUEZ	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DR. ANTONIO RUBEN VAZQUEZ	S	S	S	1	Activo
A03239	50660282173164	C.S. N° 37 LA ISLA	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		NESTOR OSCAR BELLO	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DR. NESTOR OSCAR BELLO	S	S	S	1	Activo
A03240	50660282173162	C.S. N° 35 B° EL PROGRESO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		GUSTAVO RODRIGUEZ	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DR. GUSTAVO RODRIGUEZ	S	S	S	1	Activo
A03241	50660282173144	C.S. N° 16 B° SANTA ANA I	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		MARIA INES MAGALDI	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DR. MARIA INES MAGALDI	S	S	S	1	Activo
A03593	12660282173081	HOSPITAL MATERNO INFANTIL	HOS	Hospital	10	SALTA	028	Capital	050	Salta		4400	SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	CAPITAL	S	S		JAVIER SINGLA	2031-12-09	2031-12-09	2013-12-31	N								N	N				IIIB		DR. JAVIER SINGLA	S	S	S	1	Activo
A03594	10660282173065	HOSPITAL SAN BERNARDO	HOS	Hospital	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL	4400	SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	CAPITAL	S	S		DR. HUGO SARMIENTO VILLA	2012-09-17	2012-09-17	2013-12-31	N								N	N						DR. HUGO SARMIENTO VILLA				1	Activo
A03596	              	HOSPITAL ANGASTACO	HOS	Hospital	10	SALTA	154	San Carlos	010	Angastaco	ANGASTACO		ANGASTACO	N	N	SD	Sin especificar	P	Provincial	10	ZO ANGASTACO	S	S		MARÍA GIMENEZ GAMARRA	2031-12-09	2031-12-09	2013-12-31	N								N	N						DRA. MARÍA GIMENEZ GAMARRA	N	S	N	1	Activo
A09014	50660562173135	P.S. MISIÓN TAPIETE	CSA	Centro de salud "A"	10	SALTA	056	Grl. José de San Martín	220	Tartagal	TARTAGAL		TARTAGAL	N	N	SD	Sin especificar	P	Provincial	10	ZN TARTAGAL	S	S		DRA. VIVIANA BRAIN	2013-12-01	2013-12-01	2013-12-31	N								N	N						DR. LUIS FIDEL MARTINEZ NEGRI				1	Activo
A09015	50660562173203	C.S. SAN ROQUE	CSA	Centro de salud "A"	10	SALTA	056	Grl. José de San Martín	220	Tartagal	EMBARCACION	4550	EMBARCACION	N	N	SD	Sin especificar	P	Provincial	10	ZN TARTAGAL	S	S		DR. LUIS FIDEL MARTINEZ NEGRI	2031-12-09	2031-12-09	2013-12-31	N								N	N						DR. LUIS FIDEL MARTINEZ NEGRI	N	S	S	1	Activo
A09016	50660562173210	C.S. VILLA SAAVEDRA	CSA	Centro de salud "A"	10	SALTA	056	Grl. José de San Martín	010	Aguaray	TARTAGAL		TARTAGAL	N	N	SD	Sin especificar	P	Provincial	10	ZN TARTAGAL	S	S		LUISA OROÑO	2031-12-09	2009-12-31	2013-12-31	S		LUIS MARTINEZ NEGRI	"HOSPITAL ""JUAN DOMINGO PERÓN"""		2007-04-01	2006-03-30	2013-12-31	N	N						DRA. LUISA OROÑO	N	S	S	1	Activo
A09017	              	C.S. NUEVA ESPERANZA	CSA	Centro de salud "A"	10	SALTA	056	Grl. José de San Martín	220	Tartagal	TARTAGAL		TARTAGAL	N	N	SD	Sin especificar	P	Provincial	10	ZN TARTAGAL	S	S		DR. JUAN JOSÉ NAVAJA	2017-09-12	2012-09-17	2013-12-31	S		DRA. VIVIANA BRAIN	HOSPITAL TARTAGAL		2012-09-17	2012-09-17	2013-12-31	N	N						DR. JUAN JOSÉ NAVAJA				1	Activo
A09020	50660072173206	C.S. TALAVERA	CSA	Centro de salud "A"	10	SALTA	007	Anta	060	El Quebrachal	EL QUEBRACHAL		EL QUEBRACHAL	N	S	SD	Sin especificar	P	Provincial	10	ZS EL QUEBRACHAL	S	S		WALTER VALERIO	2007-05-02	2007-05-02	2013-12-31	S		ANGEL ITALO PIOLI	"HOSPITAL ""ROMERO"""		2006-05-02	2006-05-02	2013-12-31	N	N						DR. WALTER VALERO	S	S	S	1	Activo
A09021	50660072173123	C.S. GAONA	CSA	Centro de salud "A"	10	SALTA	007	Anta	070	Gaona	EL QUEBRACHAL		EL QUEBRACHAL	N	N	SD	Sin especificar	P	Provincial	10	ZS EL QUEBRACHAL	S	S		WALTER VALERIO	2007-05-02	2007-05-02	2013-12-31	S		ANGEL ITALO PIOLI	"HOSPITAL ""ROMERO"""		2006-05-02	2006-05-02	2013-12-31	N	N						DR. WALTER VALERO	S	S	S	1	Activo
A09022	50661122173383	P.S. EL TUNAL	CSA	Centro de salud "A"	10	SALTA	112	Metán	020	El Tunal	EL GALPÓN		EL GALPÓN	N	N	SD	Sin especificar	P	Provincial	10	ZS EL GALPÓN	N	N														N	N						DRA. MARTA ISABEL ALBORNOZ				1	Activo
A09023	50661122173483	P.S. TALAMUYO	CSA	Centro de salud "A"	10	SALTA	112	Metán	010	El Galpón (Est. Foguista J. F. Juárez)	EL GALPÓN		EL GALPÓN	N	N	SD	Sin especificar	P	Provincial	10	ZS EL GALPÓN	N	N														N	N						DRA. MARTA ISABEL ALBORNOZ				1	Activo
A09024	50661402173419	C.S. VILLA LOS ALAMOS - ROSARIO DE LA FRONTERA	CSA	Centro de salud "A"	10	SALTA	140	Rosario de la Frontera	050	Rosario de la Frontera	ROSARIO DE LA FRONTERA	4190	ROSARIO DE LA FRONTERA	N	N	SD	Sin especificar	P	Provincial	10	ZS ROSARIO DE LA FRONTERA	N	N														N	N						DRA. GLORIA ABÁN				1	Activo
A09025	50661402273125	C.S. HIPÓLITO YRIGOYEN - ROSARIO DE LA FRONTERA	CSA	Centro de salud "A"	10	SALTA	140	Rosario de la Frontera	050	Rosario de la Frontera			ROSARIO DE LA FRONTERA	N	N	SD	Sin especificar	P	Provincial	10	ZS ROSARIO DE LA FRONTERA	N	N														N	N						DRA. GLORIA ABÁN				1	Activo
A09026	50661402173200	C.S. RAMÓN ABDALA	CSA	Centro de salud "A"	10	SALTA	140	Rosario de la Frontera	050	Rosario de la Frontera			ROSARIO DE LA FRONTERA	N	N	SD	Sin especificar	P	Provincial	10	ZS ROSARIO DE LA FRONTERA	N	N														N	N						DRA. GLORIA ABÁN				1	Activo
A09033	50660072173423	P.S. LUIS BURELA	CSA	Centro de salud "A"	10	SALTA	007	Anta	110	Luis Burela			APOLINARIO SARAVIA	N	N	SD	Sin especificar	P	Provincial	10	ZS APOLINARIO SARAVIA	N	N														N	N						DRA. MONICA GRACIELA SIRIMARCO				1	Activo
A09034	              	C.S. MOLLINEDO	CSA	Centro de salud "A"	10	SALTA	007	Anta	040	Coronel Mollinedo	APOLINARIO SARAVIA	4449	APOLINARIO SARAVIA	N	N	SD	Sin especificar	P	Provincial	10	ZS APOLINARIO SARAVIA	S	S		DRA. YOLANDA BETANCOURT	1900-01-01	2009-12-30	2013-12-31	N								N	N						DRA. MONICA GRACIELA SIRIMARCO				1	Activo
A09035	50660072173124	C.S. GENERAL PIZARRO	CSA	Centro de salud "A"	10	SALTA	007	Anta	080	General Pizarro			APOLINARIO SARAVIA	N	N	SD	Sin especificar	P	Provincial	10	ZS APOLINARIO SARAVIA	S	S		MIRTA GRACIELA SANDOVAL	2019-11-10	2010-11-19	2013-12-31	S		GRACIELA SIRIMARCO	"HOSPITAL ""APOLINARIO SARAVIA"""		2007-03-30	2006-05-02	2013-12-31	N	N						DRA. MIRTA G SANDOVAL				1	Activo
A09038	50660352173479	P.S. SUMALAO	CSA	Centro de salud "A"	10	SALTA	035	Cerrillos 	020	La Merced			LA MERCED	N	N	SD	Sin especificar	P	Provincial	10	ZO LA MERCED	N	N														N	N						DR. JORGE ALBERTO BENICIO				1	Activo
A09039	50660352173455	P.S. SAN AGUSTÍN	CSA	Centro de salud "A"	10	SALTA	035	Cerrillos 	030	San Agustín			LA MERCED	N	N	SD	Sin especificar	P	Provincial	10	ZO LA MERCED	N	N														N	N						DR. JORGE ALBERTO BENICIO				1	Activo
A09042	50660772173619	C.S. VAQUEROS	CSA	Centro de salud "A"	10	SALTA	077	La Caldera	020	Vaqueros			VAQUEROS	N	N	SD	Sin especificar	P	Provincial	10	ZO LA CALDERA	S	S		LAURA ROSA FAJARDO DE BERCHAN	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ A. ALLEMAND	"HOSPITAL ""BUSTAMANTE"""		2007-03-30	2007-03-30	2013-12-31	N	N						DRA. LAURA ROSA FAJARDO DE BERCHAN	S	S	S	1	Activo
A09043	50660282173148	C.S. N° 02 CAMPO CASEROS	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		ANA B. CHICA	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DRA. ANA B. CHICA	S	S	S	1	Activo
A09044	50660282173156	C.S. N° 03 HERANDO DE LERMA	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		FELIX MENDIVIL	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DR. FELIX MENDIVIL	S	S	S	1	Activo
A09045	50660282173167	C.S. N° 04 V° SAN ANTONIO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta			SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		OSCAR BURGOS SANDOVAL	2005-05-09	2009-05-05	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2007-04-01	2013-12-31	N	N						DR. OSCAR BURGOS SANDOVAL	S	S	S	1	Activo
